time,position_east(m),position_north(m),acceleration_east(m/s2),acceleration_north(m/s2)
0.0,-22.431645499309525,20.812090621329844,-1.1276330458349548,-1.308568898588419
1.0,-45.75283391759149,40.44269946496934,-0.8895429189724382,-1.181481777690351
2.0,-69.81469769988325,59.00576987024397,-0.7406753640098032,-1.0675384383648634
3.0,-94.79354465560756,76.24163122847676,-0.9169831734325272,-1.3272090470418334
4.0,-120.83174128152314,91.89764519874008,-1.0593496701912954,-1.579847387969494
5.0,-148.08739465050166,105.58189724106342,-1.2174567430629395,-1.9717619279399516
6.0,-176.44710359719463,117.28860926255584,-1.1040555777144618,-1.9775400208309293
7.0,-205.7055838486704,127.29351467080414,-0.8987713047827128,-1.7018066132441163
8.0,-235.6970361553249,136.33628906589,-0.7329720551788341,-0.962131013162434
9.0,-266.5552331492072,144.36330721061677,-0.8667446872277651,-1.015756250359118
10.0,-298.3866296594497,151.06017713900656,-0.9731995163601824,-1.3301482163369656
11.0,-331.1588762419124,156.4892327124253,-0.9408500722202008,-1.2678143549710512
12.0,-364.8120941426605,160.79580007959157,-0.8809713182854466,-1.1224882062524555
13.0,-399.279235632217,164.29804465454072,-0.8139235888083931,-0.8043227922171354
14.0,-434.5329717756831,167.4211250944063,-0.7865946539095603,-0.3791641350835562
15.0,-470.5172198135697,170.51961090229452,-0.7305118944204878,-0.0245946319773793
16.0,-507.2333601076389,173.71334266662598,-0.7318922561826184,0.0952459564432501
17.0,-544.6934151627356,176.92447387520224,-0.743914761027554,0.0173994442448019
18.0,-582.8356805852964,179.96670795418322,-0.6822103674639948,-0.1688971295952797
19.0,-621.7185100522765,183.19577497895807,-0.7405640444194432,0.1868329457938671
20.0,-660.899375191977,186.1441191667691,-0.2980356727202888,-0.2807228369638324
21.0,-700.966399138124,189.47668647114187,-0.886158806446474,0.3842231165617704
22.0,-741.627034268924,192.8824472213164,-0.5936111846531276,0.0731934458017349
23.0,-782.8186188429827,196.4071875875816,-0.530949443258578,0.1189796160906553
24.0,-824.4441935838549,200.1965786125511,-0.4339901668136008,0.2646506587043404
25.0,-866.3747837295523,204.6065895613283,-0.3050154048250988,0.6206199238076806
26.0,-908.5167139284604,210.2218684311956,-0.2113400532107334,1.205267921090126
27.0,-950.6845815687848,217.3917991388589,-0.0259374414163175,1.5546518377959728
